"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"100","locus065",149,2,2,1,1
"101","locus069",69,3,2,1,1
"102","locus073",147,3,2,1,1
"103","locus074",149,3,2,1,1
"104","locus076",129,3,2,1,1
"105","locus077",140,2,2,1,1
"106","locus080",144,3,2,1,1
"107","locus083",131,3,2,1,1
"108","locus088",149,3,2,1,1
"109","locus093",112,2,2,1,1
"110","locus096",149,3,2,1,1
"111","locus098",135,3,2,1,1
"112","locus100",149,3,2,2,2
"113","locus102",59,3,2,1,1
"114","locus106",149,3,2,1,1
"115","locus110",89,3,2,1,1
"116","locus111",5,2,2,1,1
"117","locus116",138,3,2,1,1
"118","locus119",149,3,2,1,1
"119","locus120",149,3,2,1,1
"120","locus126",97,3,2,1,1
"121","locus128",131,3,2,1,1
"122","locus129",149,6,2,2,1
"123","locus130",125,3,2,1,1
"124","locus134",140,3,2,1,1
"125","locus135",148,6,2,2,1
"126","locus137",149,3,2,1,1
"127","locus139",149,3,2,1,1
"128","locus140",149,3,2,1,1
"129","locus146",148,3,2,1,1
"130","locus148",149,3,2,1,1
"131","locus151",142,3,2,1,1
"132","locus155",1,1,1,1,1
"133","locus157",128,3,2,1,1
"134","locus161",148,3,2,1,1
"135","locus165",133,3,2,1,1
"136","locus170",149,3,2,1,1
"137","locus176",138,3,2,1,1
"138","locus184",149,3,2,1,1
"139","locus186",149,3,2,1,1
"140","locus188",144,6,2,2,1
"141","locus189",148,3,2,2,1
"142","locus190",149,3,2,1,1
"143","locus191",143,3,2,1,1
"144","locus192",140,3,2,1,1
"145","locus195",146,3,2,1,1
"146","locus201",12,3,2,1,1
"147","locus202",149,3,2,1,1
"148","locus210",106,3,2,1,1
"149","locus215",138,3,2,1,1
"150","locus227",148,3,2,1,1
"151","locus229",27,3,2,1,1
"152","locus231",117,3,2,1,1
"153","locus235",149,3,2,1,1
"154","locus236",149,3,2,1,1
"155","locus237",149,5,2,2,1
"156","locus239",149,3,2,1,1
"157","locus248",149,3,2,1,1
"158","locus255",81,3,2,1,1
"159","locus256",137,3,2,1,1
"160","locus263",145,2,2,1,1
"161","locus264",149,3,2,1,1
"162","locus271",15,3,2,1,1
"163","locus274",147,3,2,1,1
"164","locus280",141,3,2,1,1
"165","locus282",147,3,2,1,1
"166","locus286",147,3,2,1,1
"167","locus289",36,3,2,1,1
"168","locus291",149,3,2,1,1
"169","locus292",149,3,2,1,1
"170","locus296",149,3,2,1,1
"171","locus298",64,3,2,1,1
"172","locus301",145,3,2,1,1
"173","locus314",111,3,2,1,1
"174","locus321",147,3,2,1,1
"175","locus322",149,3,2,1,1
"176","locus323",148,3,2,1,1
"177","locus329",148,3,2,1,1
"178","locus332",149,3,2,1,1
"179","locus334",71,6,2,2,1
"180","locus349",108,3,2,1,1
"181","locus358",149,3,2,1,1
"182","locus359",148,3,2,1,1
"183","locus360",143,3,2,1,1
