"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"67","locus014",143,3,2,1,1
"68","locus016",135,3,2,1,1
"69","locus022",143,6,2,2,1
"70","locus024",141,3,2,1,1
"71","locus025",138,3,2,1,1
"72","locus027",90,3,2,1,1
"73","locus030",143,3,2,1,1
"74","locus035",142,3,2,1,1
"75","locus038",131,3,2,1,1
"76","locus039",142,3,2,1,1
"77","locus040",129,3,2,1,1
"78","locus041",129,3,2,1,1
"79","locus045",141,3,2,2,1
"80","locus047",143,3,2,1,1
"81","locus048",143,2,2,1,1
"82","locus053",143,6,2,2,1
"83","locus055",142,3,2,1,1
"84","locus056",143,3,2,1,1
"85","locus058",142,3,2,1,1
"86","locus060",143,3,2,1,1
"87","locus061",128,3,2,2,1
"88","locus062",143,3,2,1,1
"89","locus064",143,3,2,1,1
"90","locus065",143,2,2,1,1
"91","locus073",141,3,2,1,1
"92","locus074",143,3,2,1,1
"93","locus076",125,3,2,1,1
"94","locus077",134,2,2,1,1
"95","locus080",138,3,2,1,1
"96","locus083",125,3,2,1,1
"97","locus088",143,3,2,1,1
"98","locus093",108,2,2,1,1
"99","locus096",143,3,2,1,1
"100","locus098",130,3,2,1,1
"101","locus100",143,3,2,2,2
"102","locus106",143,3,2,1,1
"103","locus110",86,3,2,1,1
"104","locus116",134,3,2,1,1
"105","locus119",143,3,2,1,1
"106","locus120",143,3,2,1,1
"107","locus126",93,3,2,1,1
"108","locus128",125,3,2,1,1
"109","locus129",143,6,2,2,1
"110","locus130",120,3,2,1,1
"111","locus134",134,3,2,1,1
"112","locus135",142,6,2,2,1
"113","locus137",143,3,2,1,1
"114","locus139",143,3,2,1,1
"115","locus140",143,3,2,1,1
"116","locus146",142,3,2,1,1
"117","locus148",143,3,2,1,1
"118","locus151",136,3,2,1,1
"119","locus157",123,3,2,1,1
"120","locus161",142,3,2,1,1
"121","locus165",127,3,2,1,1
"122","locus170",143,3,2,1,1
"123","locus176",132,3,2,1,1
"124","locus184",143,3,2,1,1
"125","locus186",143,3,2,1,1
"126","locus188",138,6,2,2,1
"127","locus189",142,3,2,2,1
"128","locus190",143,3,2,1,1
"129","locus191",137,3,2,1,1
"130","locus192",134,3,2,1,1
"131","locus195",140,3,2,1,1
"132","locus202",143,3,2,1,1
"133","locus210",102,3,2,1,1
"134","locus215",132,3,2,1,1
"135","locus227",142,3,2,1,1
"136","locus231",114,3,2,1,1
"137","locus235",143,3,2,1,1
"138","locus236",143,3,2,1,1
"139","locus237",143,5,2,2,1
"140","locus239",143,3,2,1,1
"141","locus248",143,3,2,1,1
"142","locus255",81,3,2,1,1
"143","locus256",131,3,2,1,1
"144","locus263",139,2,2,1,1
"145","locus264",143,3,2,1,1
"146","locus274",141,3,2,1,1
"147","locus280",135,3,2,1,1
"148","locus282",141,3,2,1,1
"149","locus286",141,3,2,1,1
"150","locus291",143,3,2,1,1
"151","locus292",143,3,2,1,1
"152","locus296",143,3,2,1,1
"153","locus301",139,3,2,1,1
"154","locus314",107,3,2,1,1
"155","locus321",141,3,2,1,1
"156","locus322",143,3,2,1,1
"157","locus323",142,3,2,1,1
"158","locus329",142,3,2,1,1
"159","locus332",143,3,2,1,1
"160","locus349",104,3,2,1,1
"161","locus358",143,3,2,1,1
"162","locus359",142,3,2,1,1
"163","locus360",137,3,2,1,1
