"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"101","locus100",149,3,2,2,2
"102","locus106",149,3,2,1,1
"103","locus110",89,3,2,1,1
"104","locus116",138,3,2,1,1
"105","locus119",149,3,2,1,1
"106","locus120",149,3,2,1,1
"107","locus126",97,3,2,1,1
"108","locus128",131,3,2,1,1
"109","locus129",149,6,2,2,1
"110","locus130",125,3,2,1,1
"111","locus134",140,3,2,1,1
"112","locus135",148,6,2,2,1
"113","locus137",149,3,2,1,1
"114","locus139",149,3,2,1,1
"115","locus140",149,3,2,1,1
"116","locus146",148,3,2,1,1
"117","locus148",149,3,2,1,1
"118","locus151",142,3,2,1,1
"119","locus157",128,3,2,1,1
"120","locus161",148,3,2,1,1
"121","locus165",133,3,2,1,1
"122","locus170",149,3,2,1,1
"123","locus176",138,3,2,1,1
"124","locus184",149,3,2,1,1
"125","locus186",149,3,2,1,1
"126","locus188",144,6,2,2,1
"127","locus189",148,3,2,2,1
"128","locus190",149,3,2,1,1
"129","locus191",143,3,2,1,1
"130","locus192",140,3,2,1,1
"131","locus195",146,3,2,1,1
"132","locus202",149,3,2,1,1
"133","locus210",106,3,2,1,1
"134","locus215",138,3,2,1,1
"135","locus227",148,3,2,1,1
"136","locus231",117,3,2,1,1
"137","locus235",149,3,2,1,1
"138","locus236",149,3,2,1,1
"139","locus237",149,5,2,2,1
"140","locus239",149,3,2,1,1
"141","locus248",149,3,2,1,1
"142","locus255",81,3,2,1,1
"143","locus256",137,3,2,1,1
"144","locus263",145,2,2,1,1
"145","locus264",149,3,2,1,1
"146","locus274",147,3,2,1,1
"147","locus280",141,3,2,1,1
"148","locus282",147,3,2,1,1
"149","locus286",147,3,2,1,1
"150","locus291",149,3,2,1,1
"151","locus292",149,3,2,1,1
"152","locus296",149,3,2,1,1
"153","locus301",145,3,2,1,1
"154","locus314",111,3,2,1,1
"155","locus321",147,3,2,1,1
"156","locus322",149,3,2,1,1
"157","locus323",148,3,2,1,1
"158","locus329",148,3,2,1,1
"159","locus332",149,3,2,1,1
"160","locus349",108,3,2,1,1
"161","locus358",149,3,2,1,1
"162","locus359",148,3,2,1,1
"163","locus360",143,3,2,1,1
