"","locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","obs_minus_exp","num.snps"
"32","Dc22887","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,-0.0139825218476904,1
"33","Dc27955","IsabelSI-South",36,9,0.8,2,0.0555555555555556,0,0.262519561815336,0.2,0.0625195618153364,1
"34","Dc28124","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,-0.0139825218476904,1
"35","Dc28776","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.43025078369906,0.466666666666667,-0.0364158829676071,1
"36","Dc30071","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.466666666666667,0.0379525593008739,1
"37","Dc31007","IsabelSI-South",29,16,0.644444444444444,2,0.0689655172413793,0,0.188747731397459,0.133333333333333,0.0554143980641256,1
"38","Dc33714","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.569038701622971,0.555555555555556,0.0134831460674159,2
"39","Dc33907","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.390543364681296,0.333333333333333,0.0572100313479625,1
"40","Dc34902","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.182022471910112,0.155555555555556,0.0264669163545568,1
"41","Dc35779","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.288888888888889,-0.00799001248439457,1
"42","Dc36571","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.495697074010327,0.533333333333333,-0.0376362593230062,1
"43","Dc36616","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.333333333333333,-0.023470661672909,1
"44","Dc36767","IsabelSI-South",26,19,0.577777777777778,3,0.115384615384615,0,0.46078431372549,0.311111111111111,0.149673202614379,2
"45","Dc40235","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.333333333333333,0.0284644194756554,1
"46","Dc41234","IsabelSI-South",27,18,0.6,3,0.111111111111111,0,0.56953179594689,0.288888888888889,0.280642907058001,2
"47","Dc46984","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.597503121098627,0.422222222222222,0.175280898876404,2
"48","Dc47572","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.453682896379526,0.422222222222222,0.0314606741573033,2
"49","Dc47935","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.623470661672909,0.688888888888889,-0.0654182272159799,3
"50","Dc48207","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0.024390243902439,0.0243902439024391,0.0222222222222222,0.00216802168021684,1
"51","Dc48950","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.574531835205992,0.466666666666667,0.107865168539326,2
"52","Dc49080","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.499375780274657,0.4,0.0993757802746567,1
"53","Dc49184","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.44769038701623,0.422222222222222,0.0254681647940076,2
"54","Dc51020","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.456679151061174,0.466666666666667,-0.0099875156054931,1
"55","Dc52523","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.501622971285893,0.533333333333333,-0.0317103620474407,2
"56","Dc55481","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.178259560373382,0.133333333333333,0.0449262270400482,1
"57","Dc58248","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.562297128589264,0.488888888888889,0.0734082397003746,2
"58","Dc62188","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.599001248439451,0.622222222222222,-0.0232209737827717,2
"59","Dc67011","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.333333333333333,-0.023470661672909,1
"60","locus002","IsabelSI-South",32,13,0.711111111111111,2,0.0625,0,0.347222222222222,0.311111111111111,0.0361111111111111,1
"61","locus003","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.395505617977528,0.4,-0.00449438202247182,1
"62","locus004","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.377777777777778,0.0639200998751561,1
"63","locus005","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.379310344827586,0.311111111111111,0.0681992337164751,1
"64","locus006","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.199750312109863,0.222222222222222,-0.0224719101123595,1
"65","locus008","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.555555555555556,-0.113857677902622,1
"66","locus013","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.288888888888889,0.0729088639200999,1
"67","locus014","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.496629213483146,0.511111111111111,-0.014481897627965,1
"68","locus016","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.151299589603283,0.155555555555556,-0.0042559659522724,1
"69","locus022","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.630461922596754,0.6,0.0304619225967541,2
"70","locus024","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.306429548563611,0.355555555555556,-0.0491260069919442,1
"71","locus025","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.479623824451411,0.4,0.0796238244514106,1
"72","locus027","IsabelSI-South",23,22,0.511111111111111,2,0.0869565217391304,0,0.432850241545894,0.177777777777778,0.255072463768116,1
"73","locus030","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.493383270911361,0.444444444444444,0.0489388264669164,1
"74","locus035","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,-0.0139825218476904,1
"75","locus038","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.495332731105089,0.422222222222222,0.0731105088828667,1
"76","locus039","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.221264367816092,0.244444444444444,-0.0231800766283525,1
"77","locus040","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.259644322845417,0.155555555555556,0.104088767289862,1
"78","locus041","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.361149110807114,0.311111111111111,0.0500379996960025,1
"79","locus045","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.242954856361149,0.222222222222222,0.020732634138927,2
"80","locus047","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.501622971285893,0.511111111111111,-0.00948813982521834,1
"81","locus048","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.0651685393258427,0.0666666666666667,-0.001498127340824,1
"82","locus053","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.605992509363296,0.733333333333333,-0.127340823970038,2
"83","locus055","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.466666666666667,-0.0249687890137328,1
"84","locus056","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.333333333333333,-0.023470661672909,1
"85","locus058","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.411442006269592,0.466666666666667,-0.0552246603970744,1
"86","locus060","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.216978776529338,0.244444444444444,-0.0274656679151062,1
"87","locus061","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.351929824561404,0.2,0.151929824561404,2
"88","locus062","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.395505617977528,0.355555555555556,0.0399500624219726,1
"89","locus064","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.384769038701623,0.422222222222222,-0.0374531835205992,1
"90","locus065","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.216978776529338,0.244444444444444,-0.0274656679151062,1
"91","locus073","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.496032831737346,0.466666666666667,0.0293661650706794,1
"92","locus074","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.323595505617977,0.266666666666667,0.0569288389513107,1
"93","locus076","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.506024096385542,0.444444444444444,0.0615796519410977,1
"94","locus077","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.137308039747064,0.133333333333333,0.00397470641373093,1
"95","locus080","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.505485893416928,0.555555555555556,-0.0500696621386277,1
"96","locus083","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.321052631578947,0.244444444444444,0.0766081871345028,1
"97","locus088","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.422222222222222,-0.0604244694132335,1
"98","locus093","IsabelSI-South",36,9,0.8,2,0.0555555555555556,0.0277777777777778,0.0277777777777777,0.0222222222222222,0.00555555555555548,1
"99","locus096","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.384769038701623,0.466666666666667,-0.0818976279650437,1
"100","locus098","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.373461012311902,0.377777777777778,-0.00431676546587617,1
"101","locus100","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.244444444444444,0.0654182272159799,3
"102","locus106","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.288888888888889,-0.00799001248439457,1
"103","locus110","IsabelSI-South",30,15,0.666666666666667,2,0.0666666666666667,0,0.345197740112994,0.288888888888889,0.0563088512241055,1
"104","locus116","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.396443228454173,0.422222222222222,-0.0257789937680497,1
"105","locus119","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.288888888888889,0.152808988764045,1
"106","locus120","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.249937578027466,0.288888888888889,-0.0389513108614232,1
"107","locus126","IsabelSI-South",30,15,0.666666666666667,2,0.0666666666666667,0,0.46271186440678,0.288888888888889,0.173822975517891,1
"108","locus128","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.39747064137308,0.355555555555556,0.0419150858175247,1
"109","locus129","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.511360799001248,0.488888888888889,0.0224719101123595,2
"110","locus130","IsabelSI-South",37,8,0.822222222222222,2,0.0540540540540541,0,0.236949278045168,0.177777777777778,0.0591715002673905,1
"111","locus134","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.501434308663224,0.533333333333333,-0.0318990246701091,1
"112","locus135","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.404388714733542,0.355555555555556,0.0488331591779868,2
"113","locus137","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.373533083645443,0.266666666666667,0.106866416978777,1
"114","locus139","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.333333333333333,-0.052434456928839,1
"115","locus140","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.333333333333333,-0.052434456928839,1
"116","locus146","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.484587251828631,0.511111111111111,-0.0265238592824799,1
"117","locus148","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.424719101123596,0.422222222222222,0.00249687890137335,1
"118","locus151","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.511111111111111,-0.0694132334581772,1
"119","locus157","IsabelSI-South",40,5,0.888888888888889,2,0.05,0,0.202215189873418,0.111111111111111,0.0911040787623066,1
"120","locus161","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.390543364681296,0.377777777777778,0.012765586903518,1
"121","locus165","IsabelSI-South",40,5,0.888888888888889,2,0.05,0,0.308544303797468,0.288888888888889,0.0196554149085795,1
"122","locus170","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.489637952559301,0.377777777777778,0.111860174781523,1
"123","locus176","IsabelSI-South",39,6,0.866666666666667,2,0.0512820512820513,0,0.49017649017649,0.355555555555556,0.134620934620935,1
"124","locus184","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.377777777777778,-0.015980024968789,1
"125","locus186","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.182022471910112,0.155555555555556,0.0264669163545568,1
"126","locus188","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.600574712643678,0.666666666666667,-0.0660919540229885,2
"127","locus189","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.475405742821473,0.488888888888889,-0.0134831460674157,2
"128","locus190","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.415480649188514,0.355555555555556,0.0599250936329588,1
"129","locus191","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.511111111111111,-0.00649188514357046,1
"130","locus192","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.462812405901837,0.422222222222222,0.0405901836796145,1
"131","locus195","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.367554858934169,0.422222222222222,-0.0546673632880529,1
"132","locus202","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.456679151061174,0.422222222222222,0.0344569288389514,1
"133","locus210","IsabelSI-South",31,14,0.688888888888889,2,0.0645161290322581,0,0.503437334743522,0.311111111111111,0.192326223632411,1
"134","locus215","IsabelSI-South",40,5,0.888888888888889,2,0.05,0,0.392088607594937,0.288888888888889,0.103199718706048,1
"135","locus227","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.342476489028213,0.333333333333333,0.00914315569487989,1
"136","locus231","IsabelSI-South",37,8,0.822222222222222,2,0.0540540540540541,0,0.386893743058127,0.288888888888889,0.0980048541692379,1
"137","locus235","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.384769038701623,0.422222222222222,-0.0374531835205992,1
"138","locus236","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.288888888888889,-0.00799001248439457,1
"139","locus237","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.434207240948814,0.311111111111111,0.123096129837703,2
"140","locus239","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.456679151061174,0.333333333333333,0.12334581772784,1
"141","locus248","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.34956304619226,0.355555555555556,-0.00599250936329587,1
"142","locus255","IsabelSI-South",22,23,0.488888888888889,2,0.0909090909090909,0,0.42600422832981,0.244444444444444,0.181559783885365,1
"143","locus256","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.466484268125855,0.511111111111111,-0.044626842985256,1
"144","locus263","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.0917957544463569,0.0888888888888889,0.002906865557468,1
"145","locus264","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.475405742821473,0.622222222222222,-0.146816479400749,1
"146","locus274","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.555555555555556,-0.050936329588015,1
"147","locus280","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.391279403327596,0.355555555555556,0.0357238477720406,1
"148","locus282","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.444322845417237,0.355555555555556,0.0887672898616811,1
"149","locus286","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.203761755485893,0.222222222222222,-0.0184604667363289,1
"150","locus291","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.415480649188514,0.355555555555556,0.0599250936329588,2
"151","locus292","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.493383270911361,0.4,0.0933832709113608,1
"152","locus296","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.265667915106117,0.266666666666667,-0.000998751560549238,1
"153","locus301","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.270637408568443,0.222222222222222,0.0484151863462208,1
"154","locus314","IsabelSI-South",35,10,0.777777777777778,2,0.0571428571428571,0,0.109316770186335,0.0888888888888889,0.0204278812974465,1
"155","locus321","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.444322845417237,0.4,0.0443228454172367,1
"156","locus322","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.480649188514357,0.466666666666667,0.0139825218476903,1
"157","locus323","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.43025078369906,0.377777777777778,0.0524730059212818,1
"158","locus329","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.503396029258098,0.466666666666667,0.0367293625914316,1
"159","locus332","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.323595505617977,0.266666666666667,0.0569288389513107,1
"160","locus349","IsabelSI-South",31,14,0.688888888888889,2,0.0645161290322581,0,0.482284505552618,0.4,0.0822845055526177,1
"161","locus358","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.2,0.109862671660424,1
"162","locus359","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.405742821473159,0.466666666666667,-0.0609238451935081,1
"163","locus360","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.504702194357367,0.4,0.104702194357367,1
"164","Dc00544","PNG",5,7,0.416666666666667,2,0.4,0,0.555555555555556,0.25,0.305555555555556,1
"165","Dc01018","PNG",10,2,0.833333333333333,2,0.2,0,0.268421052631579,0.25,0.0184210526315791,1
"166","Dc01661","PNG",12,0,1,3,0.25,0,0.648550724637681,0.583333333333333,0.0652173913043479,2
"167","Dc01707","PNG",12,0,1,4,0.333333333333333,0.0833333333333333,0.706521739130435,0.666666666666667,0.0398550724637682,2
"168","Dc01784","PNG",11,1,0.916666666666667,2,0.181818181818182,0.0909090909090909,0.454545454545455,0.583333333333333,-0.128787878787879,1
"169","Dc02951","PNG",12,0,1,2,0.166666666666667,0,0.489130434782609,0.583333333333333,-0.0942028985507247,1
"170","Dc03456","PNG",12,0,1,2,0.166666666666667,0,0.344202898550725,0.416666666666667,-0.072463768115942,1
"171","Dc03556","PNG",12,0,1,2,0.166666666666667,0,0.489130434782609,0.75,-0.260869565217391,1
"172","Dc05864","PNG",7,5,0.583333333333333,3,0.428571428571429,0,0.692307692307692,0.333333333333333,0.358974358974359,2
"173","Dc06503","PNG",6,6,0.5,2,0.333333333333333,0.166666666666667,0.166666666666667,0.0833333333333333,0.0833333333333335,1
"174","Dc07300","PNG",12,0,1,3,0.25,0,0.692028985507246,0.916666666666667,-0.22463768115942,2
"175","Dc07937","PNG",10,2,0.833333333333333,3,0.3,0.1,0.468421052631579,0.5,-0.0315789473684209,2
"176","Dc08054","PNG",12,0,1,3,0.25,0,0.619565217391304,0.75,-0.130434782608696,2
"177","Dc08189","PNG",11,1,0.916666666666667,3,0.272727272727273,0.0909090909090909,0.61038961038961,0.583333333333333,0.0270562770562771,2
"178","Dc08463","PNG",12,0,1,2,0.166666666666667,0,0.463768115942029,0.333333333333333,0.130434782608696,1
"179","Dc08578","PNG",6,6,0.5,3,0.5,0.166666666666667,0.590909090909091,0.25,0.340909090909091,2
"180","Dc08865","PNG",12,0,1,3,0.25,0,0.521739130434783,0.333333333333333,0.188405797101449,2
"181","Dc10003","PNG",5,7,0.416666666666667,2,0.4,0,0.555555555555556,0.0833333333333333,0.472222222222222,1
"182","Dc10390","PNG",12,0,1,2,0.166666666666667,0,0.344202898550725,0.0833333333333333,0.260869565217391,1
"183","Dc10878","PNG",7,5,0.583333333333333,2,0.285714285714286,0,0.494505494505494,0.25,0.244505494505494,1
"184","Dc10885","PNG",12,0,1,3,0.25,0,0.467391304347826,0.5,-0.0326086956521739,2
"185","Dc11203","PNG",12,0,1,2,0.166666666666667,0,0.344202898550725,0.25,0.0942028985507247,2
"186","Dc11714","PNG",12,0,1,2,0.166666666666667,0,0.507246376811594,0.666666666666667,-0.159420289855073,1
"187","Dc13159","PNG",10,2,0.833333333333333,3,0.3,0.1,0.573684210526316,0.416666666666667,0.157017543859649,2
"188","Dc13592","PNG",10,2,0.833333333333333,3,0.3,0.1,0.352631578947368,0.166666666666667,0.185964912280702,2
"189","Dc14022","PNG",12,0,1,1,0.0833333333333333,0,0,0,0,1
"190","Dc14945","PNG",12,0,1,1,0.0833333333333333,0,0,0,0,1
"191","Dc16747","PNG",11,1,0.916666666666667,2,0.181818181818182,0.0909090909090909,0.311688311688312,0.333333333333333,-0.0216450216450217,1
"192","Dc18951","PNG",12,0,1,2,0.166666666666667,0,0.507246376811594,0.5,0.00724637681159412,1
"193","Dc20232","PNG",12,0,1,3,0.25,0.0833333333333333,0.235507246376812,0.25,-0.0144927536231884,2
"194","Dc22883","PNG",9,3,0.75,3,0.333333333333333,0,0.581699346405229,0.583333333333333,-0.00163398692810468,2
"195","Dc22887","PNG",12,0,1,2,0.166666666666667,0,0.391304347826087,0.333333333333333,0.0579710144927537,1
"196","Dc27955","PNG",9,3,0.75,2,0.222222222222222,0,0.294117647058823,0.25,0.0441176470588234,1
"197","Dc28124","PNG",12,0,1,2,0.166666666666667,0,0.159420289855073,0.166666666666667,-0.00724637681159407,1
"198","Dc28776","PNG",12,0,1,2,0.166666666666667,0,0.489130434782609,0.583333333333333,-0.0942028985507247,1
"199","Dc30071","PNG",12,0,1,2,0.166666666666667,0,0.463768115942029,0.5,-0.0362318840579711,1
"200","Dc31007","PNG",6,6,0.5,2,0.333333333333333,0.166666666666667,0.303030303030303,0,0.303030303030303,1
"201","Dc33714","PNG",12,0,1,3,0.25,0,0.420289855072464,0.5,-0.0797101449275362,2
"202","Dc33907","PNG",12,0,1,2,0.166666666666667,0,0.518115942028986,0.416666666666667,0.101449275362319,1
"203","Dc34902","PNG",12,0,1,2,0.166666666666667,0,0.159420289855073,0.166666666666667,-0.00724637681159407,1
"204","Dc35779","PNG",12,0,1,2,0.166666666666667,0,0.289855072463768,0.166666666666667,0.123188405797101,1
"205","Dc36571","PNG",11,1,0.916666666666667,2,0.181818181818182,0.0909090909090909,0.506493506493506,0.25,0.256493506493506,1
"206","Dc36616","PNG",12,0,1,2,0.166666666666667,0,0.228260869565217,0.25,-0.0217391304347826,1
"207","Dc36767","PNG",6,6,0.5,3,0.5,0.333333333333333,0.318181818181818,0.166666666666667,0.151515151515151,2
"208","Dc40235","PNG",12,0,1,2,0.166666666666667,0,0.228260869565217,0.25,-0.0217391304347826,1
"209","Dc41234","PNG",7,5,0.583333333333333,3,0.428571428571429,0,0.659340659340659,0.333333333333333,0.326007326007326,2
"210","Dc46984","PNG",12,0,1,3,0.25,0,0.594202898550725,0.666666666666667,-0.072463768115942,2
"211","Dc47572","PNG",12,0,1,2,0.166666666666667,0,0.344202898550725,0.416666666666667,-0.072463768115942,2
"212","Dc47935","PNG",12,0,1,3,0.25,0,0.518115942028986,0.25,0.268115942028986,3
"213","Dc48207","PNG",10,2,0.833333333333333,2,0.2,0.1,0.1,0.0833333333333333,0.0166666666666668,1
"214","Dc48950","PNG",12,0,1,3,0.25,0,0.47463768115942,0.583333333333333,-0.108695652173913,2
"215","Dc49080","PNG",12,0,1,2,0.166666666666667,0,0.431159420289855,0.416666666666667,0.0144927536231884,1
"216","Dc49184","PNG",12,0,1,2,0.166666666666667,0,0.159420289855073,0.166666666666667,-0.00724637681159407,2
