"","Locus.1","Locus.2","p.value","std.err","switches","loci"
"149","Dc08054","Dc10003",NA,NA,NA,"Dc08054 Dc10003"
"150","Dc08189","Dc10003",NA,NA,NA,"Dc08189 Dc10003"
"151","Dc08463","Dc10003",NA,NA,NA,"Dc08463 Dc10003"
"152","Dc08578","Dc10003",NA,NA,NA,"Dc08578 Dc10003"
"153","Dc08865","Dc10003",NA,NA,NA,"Dc08865 Dc10003"
"154","Dc00544","Dc10390",1,0,159173,"Dc00544 Dc10390"
"155","Dc01018","Dc10390",1,0,158918,"Dc01018 Dc10390"
"156","Dc01661","Dc10390",1,0,167219,"Dc01661 Dc10390"
"157","Dc01707","Dc10390",0.712622,0.001729,138592,"Dc01707 Dc10390"
"158","Dc01784","Dc10390",1,0,166699,"Dc01784 Dc10390"
"159","Dc02951","Dc10390",0.523514,0.000678,261700,"Dc02951 Dc10390"
"160","Dc03456","Dc10390",0.57137,0.001428,166884,"Dc03456 Dc10390"
"161","Dc03556","Dc10390",1,0,166757,"Dc03556 Dc10390"
"162","Dc05864","Dc10390",0.619908,0.00115,158941,"Dc05864 Dc10390"
"163","Dc06503","Dc10390",1,0,142821,"Dc06503 Dc10390"
"164","Dc07300","Dc10390",1,0,139084,"Dc07300 Dc10390"
"165","Dc07937","Dc10390",0.57351,0.001352,167050,"Dc07937 Dc10390"
"166","Dc08054","Dc10390",1,0,191298,"Dc08054 Dc10390"
"167","Dc08189","Dc10390",0.426362,0.000744,213962,"Dc08189 Dc10390"
"168","Dc08463","Dc10390",1,0,143154,"Dc08463 Dc10390"
"169","Dc08578","Dc10390",0.284932,0.002134,139180,"Dc08578 Dc10390"
"170","Dc08865","Dc10390",0.716448,0.00158,138715,"Dc08865 Dc10390"
"171","Dc10003","Dc10390",NA,NA,NA,"Dc10003 Dc10390"
"172","Dc00544","Dc10878",0.142362,0.002035,81921,"Dc00544 Dc10878"
"173","Dc01018","Dc10878",0.719526,0.002343,82381,"Dc01018 Dc10878"
"174","Dc01661","Dc10878",0.573012,0.002175,91665,"Dc01661 Dc10878"
"175","Dc01707","Dc10878",0.046336,0.001192,65501,"Dc01707 Dc10878"
"176","Dc01784","Dc10878",0.286432,0.002174,91539,"Dc01784 Dc10878"
"177","Dc02951","Dc10878",0.52242,0.001769,134670,"Dc02951 Dc10878"
"178","Dc03456","Dc10878",0.572588,0.002058,91611,"Dc03456 Dc10878"
"179","Dc03556","Dc10878",1,0,91157,"Dc03556 Dc10878"
"180","Dc05864","Dc10878",1,0,81812,"Dc05864 Dc10878"
"181","Dc06503","Dc10878",1,0,70843,"Dc06503 Dc10878"
"182","Dc07300","Dc10878",1,0,65477,"Dc07300 Dc10878"
"183","Dc07937","Dc10878",0.571686,0.00231,91207,"Dc07937 Dc10878"
"184","Dc08054","Dc10878",0.290292,0.001971,111146,"Dc08054 Dc10878"
"185","Dc08189","Dc10878",1,0,190584,"Dc08189 Dc10878"
"186","Dc08463","Dc10878",1,0,71273,"Dc08463 Dc10878"
"187","Dc08578","Dc10878",0.577402,0.003393,65368,"Dc08578 Dc10878"
"188","Dc08865","Dc10878",1,0,65562,"Dc08865 Dc10878"
"189","Dc10003","Dc10878",NA,NA,NA,"Dc10003 Dc10878"
"190","Dc10390","Dc10878",0.522678,0.001619,134820,"Dc10390 Dc10878"
"191","Dc00544","Dc10885",0.762632,0.002798,67846,"Dc00544 Dc10885"
"192","Dc01018","Dc10885",0.770182,0.002739,67064,"Dc01018 Dc10885"
"193","Dc01661","Dc10885",1,0,73427,"Dc01661 Dc10885"
"194","Dc01707","Dc10885",1,0,47100,"Dc01707 Dc10885"
"195","Dc01784","Dc10885",0.742598,0.003173,73555,"Dc01784 Dc10885"
"196","Dc02951","Dc10885",1,0,128699,"Dc02951 Dc10885"
"197","Dc03456","Dc10885",1,0,74062,"Dc03456 Dc10885"
"198","Dc03556","Dc10885",0.74281,0.002946,73500,"Dc03556 Dc10885"
"199","Dc05864","Dc10885",0.772556,0.002697,67668,"Dc05864 Dc10885"
"200","Dc06503","Dc10885",0.574764,0.002685,72037,"Dc06503 Dc10885"
"201","Dc07300","Dc10885",1,0,47034,"Dc07300 Dc10885"
"202","Dc07937","Dc10885",1,0,74118,"Dc07937 Dc10885"
"203","Dc08054","Dc10885",1,0,80553,"Dc08054 Dc10885"
"204","Dc08189","Dc10885",1,0,159981,"Dc08189 Dc10885"
"205","Dc08463","Dc10885",0.573368,0.00275,72065,"Dc08463 Dc10885"
"206","Dc08578","Dc10885",1,0,47197,"Dc08578 Dc10885"
"207","Dc08865","Dc10885",1,0,47173,"Dc08865 Dc10885"
"208","Dc10003","Dc10885",NA,NA,NA,"Dc10003 Dc10885"
"209","Dc10390","Dc10885",1,0,128247,"Dc10390 Dc10885"
"210","Dc10878","Dc10885",0.858908,0.002521,49807,"Dc10878 Dc10885"
"211","Dc00544","Dc11203",0.144366,0.001289,159264,"Dc00544 Dc11203"
"212","Dc01018","Dc11203",1,0,159358,"Dc01018 Dc11203"
"213","Dc01661","Dc11203",1,0,166022,"Dc01661 Dc11203"
"214","Dc01707","Dc11203",0.286776,0.001895,139010,"Dc01707 Dc11203"
"215","Dc01784","Dc11203",0.568846,0.001653,165878,"Dc01784 Dc11203"
"216","Dc02951","Dc11203",1,0,261526,"Dc02951 Dc11203"
"217","Dc03456","Dc11203",0.572792,0.001399,167093,"Dc03456 Dc11203"
"218","Dc03556","Dc11203",0.572044,0.001425,166792,"Dc03556 Dc11203"
"219","Dc05864","Dc11203",1,0,158324,"Dc05864 Dc11203"
"220","Dc06503","Dc11203",1,0,142445,"Dc06503 Dc11203"
"221","Dc07300","Dc11203",0.715072,0.001509,138964,"Dc07300 Dc11203"
"222","Dc07937","Dc11203",1,0,166576,"Dc07937 Dc11203"
"223","Dc08054","Dc11203",1,0,190215,"Dc08054 Dc11203"
"224","Dc08189","Dc11203",1,0,214438,"Dc08189 Dc11203"
"225","Dc08463","Dc11203",1,0,143518,"Dc08463 Dc11203"
"226","Dc08578","Dc11203",0.714104,0.001613,139256,"Dc08578 Dc11203"
"227","Dc08865","Dc11203",0.713376,0.001699,138379,"Dc08865 Dc11203"
"228","Dc10003","Dc11203",NA,NA,NA,"Dc10003 Dc11203"
"229","Dc10390","Dc11203",0.523822,0.000796,262058,"Dc10390 Dc11203"
"230","Dc10878","Dc11203",0.525408,0.001637,135538,"Dc10878 Dc11203"
"231","Dc10885","Dc11203",0.283842,0.002387,128627,"Dc10885 Dc11203"
"232","Dc00544","Dc11714",0.426196,0.002441,106044,"Dc00544 Dc11714"
"233","Dc01018","Dc11714",1,0,106605,"Dc01018 Dc11714"
"234","Dc01661","Dc11714",0.115028,0.00161,112162,"Dc01661 Dc11714"
"235","Dc01707","Dc11714",0.31508,0.002662,85451,"Dc01707 Dc11714"
"236","Dc01784","Dc11714",0.229322,0.002002,113042,"Dc01784 Dc11714"
"237","Dc02951","Dc11714",1,0,158434,"Dc02951 Dc11714"
"238","Dc03456","Dc11714",1,0,112907,"Dc03456 Dc11714"
"239","Dc03556","Dc11714",0.655136,0.002136,112523,"Dc03556 Dc11714"
"240","Dc05864","Dc11714",0.770892,0.001702,106685,"Dc05864 Dc11714"
"241","Dc06503","Dc11714",0.425978,0.00173,95320,"Dc06503 Dc11714"
"242","Dc07300","Dc11714",1,0,86253,"Dc07300 Dc11714"
"243","Dc07937","Dc11714",1,0,112731,"Dc07937 Dc11714"
"244","Dc08054","Dc11714",1,0,131419,"Dc08054 Dc11714"
"245","Dc08189","Dc11714",0.256458,0.001057,180325,"Dc08189 Dc11714"
"246","Dc08463","Dc11714",0.43088,0.001801,94941,"Dc08463 Dc11714"
"247","Dc08578","Dc11714",0.885342,0.001705,86512,"Dc08578 Dc11714"
"248","Dc08865","Dc11714",1,0,86236,"Dc08865 Dc11714"
"249","Dc10003","Dc11714",NA,NA,NA,"Dc10003 Dc11714"
"250","Dc10390","Dc11714",0.334426,0.00132,158260,"Dc10390 Dc11714"
"251","Dc10878","Dc11714",0.140792,0.002057,81838,"Dc10878 Dc11714"
"252","Dc10885","Dc11714",0.767412,0.0028,67697,"Dc10885 Dc11714"
"253","Dc11203","Dc11714",1,0,158830,"Dc11203 Dc11714"
"254","Dc00544","Dc13159",0.31843,0.002266,85653,"Dc00544 Dc13159"
"255","Dc01018","Dc13159",0.314168,0.002657,86203,"Dc01018 Dc13159"
"256","Dc01661","Dc13159",0.833466,0.001828,92514,"Dc01661 Dc13159"
"257","Dc01707","Dc13159",0.627438,0.003455,64565,"Dc01707 Dc13159"
"258","Dc01784","Dc13159",0.830184,0.002101,92379,"Dc01784 Dc13159"
"259","Dc02951","Dc13159",1,0,138508,"Dc02951 Dc13159"
"260","Dc03456","Dc13159",0.82939,0.002126,92665,"Dc03456 Dc13159"
"261","Dc03556","Dc13159",0.824998,0.002,92507,"Dc03556 Dc13159"
"262","Dc05864","Dc13159",0.11765,0.002236,86166,"Dc05864 Dc13159"
"263","Dc06503","Dc13159",0.5712,0.001963,83068,"Dc06503 Dc13159"
"264","Dc07300","Dc13159",0.629012,0.003584,64449,"Dc07300 Dc13159"
"265","Dc07937","Dc13159",0.227208,0.002348,92333,"Dc07937 Dc13159"
"266","Dc08054","Dc13159",1,0,103158,"Dc08054 Dc13159"
"267","Dc08189","Dc13159",1,0,167130,"Dc08189 Dc13159"
"268","Dc08463","Dc13159",0.57283,0.002063,83660,"Dc08463 Dc13159"
"269","Dc08578","Dc13159",1,0,64587,"Dc08578 Dc13159"
"270","Dc08865","Dc13159",0.099314,0.002052,63714,"Dc08865 Dc13159"
"271","Dc10003","Dc13159",NA,NA,NA,"Dc10003 Dc13159"
"272","Dc10390","Dc13159",0.713556,0.001519,138823,"Dc10390 Dc13159"
"273","Dc10878","Dc13159",0.570156,0.003221,65142,"Dc10878 Dc13159"
"274","Dc10885","Dc13159",1,0,46853,"Dc10885 Dc13159"
"275","Dc11203","Dc13159",0.714658,0.001736,138459,"Dc11203 Dc13159"
"276","Dc11714","Dc13159",0.885506,0.001686,86108,"Dc11714 Dc13159"
"277","Dc00544","Dc13592",1,0,75064,"Dc00544 Dc13592"
"278","Dc01018","Dc13592",1,0,74690,"Dc01018 Dc13592"
"279","Dc01661","Dc13592",0.483052,0.003123,82042,"Dc01661 Dc13592"
"280","Dc01707","Dc13592",1,0,54825,"Dc01707 Dc13592"
"281","Dc01784","Dc13592",1,0,82389,"Dc01784 Dc13592"
"282","Dc02951","Dc13592",0.711914,0.001759,130873,"Dc02951 Dc13592"
"283","Dc03456","Dc13592",0.227724,0.002837,82064,"Dc03456 Dc13592"
"284","Dc03556","Dc13592",1,0,82531,"Dc03556 Dc13592"
"285","Dc05864","Dc13592",0.367698,0.00366,74886,"Dc05864 Dc13592"
"286","Dc06503","Dc13592",0.425464,0.002796,71364,"Dc06503 Dc13592"
"287","Dc07300","Dc13592",0.109662,0.002982,54628,"Dc07300 Dc13592"
"288","Dc07937","Dc13592",0.22862,0.002291,82198,"Dc07937 Dc13592"
"289","Dc08054","Dc13592",1,0,91893,"Dc08054 Dc13592"
"290","Dc08189","Dc13592",1,0,164792,"Dc08189 Dc13592"
"291","Dc08463","Dc13592",0.42925,0.002707,71365,"Dc08463 Dc13592"
"292","Dc08578","Dc13592",0.827244,0.002911,54253,"Dc08578 Dc13592"
"293","Dc08865","Dc13592",0.108332,0.00284,54756,"Dc08865 Dc13592"
"294","Dc10003","Dc13592",NA,NA,NA,"Dc10003 Dc13592"
"295","Dc10390","Dc13592",0.717264,0.001721,131545,"Dc10390 Dc13592"
"296","Dc10878","Dc13592",1,0,53899,"Dc10878 Dc13592"
"297","Dc10885","Dc13592",1,0,39259,"Dc10885 Dc13592"
"298","Dc11203","Dc13592",1,0,130527,"Dc11203 Dc13592"
"299","Dc11714","Dc13592",1,0,74896,"Dc11714 Dc13592"
"300","Dc13159","Dc13592",0.829642,0.002986,54857,"Dc13159 Dc13592"
"301","Dc00544","Dc14022",1,0,95365,"Dc00544 Dc14022"
"302","Dc01018","Dc14022",1,0,95452,"Dc01018 Dc14022"
"303","Dc01661","Dc14022",1,0,118762,"Dc01661 Dc14022"
"304","Dc01707","Dc14022",1,0,83450,"Dc01707 Dc14022"
"305","Dc01784","Dc14022",1,0,119162,"Dc01784 Dc14022"
"306","Dc02951","Dc14022",1,0,143311,"Dc02951 Dc14022"
"307","Dc03456","Dc14022",1,0,118516,"Dc03456 Dc14022"
"308","Dc03556","Dc14022",1,0,118686,"Dc03556 Dc14022"
"309","Dc05864","Dc14022",0.144846,0.000979,95496,"Dc05864 Dc14022"
"310","Dc06503","Dc14022",0.142378,0.000761,71104,"Dc06503 Dc14022"
"311","Dc07300","Dc14022",0.573278,0.002364,83423,"Dc07300 Dc14022"
"312","Dc07937","Dc14022",1,0,119166,"Dc07937 Dc14022"
"313","Dc08054","Dc14022",1,0,142729,"Dc08054 Dc14022"
"314","Dc08189","Dc14022",1,0,214949,"Dc08189 Dc14022"
"315","Dc08463","Dc14022",0.144534,0.000835,72118,"Dc08463 Dc14022"
"316","Dc08578","Dc14022",0.571088,0.002122,83486,"Dc08578 Dc14022"
"317","Dc08865","Dc14022",0.573048,0.002311,83818,"Dc08865 Dc14022"
"318","Dc10003","Dc14022",NA,NA,NA,"Dc10003 Dc14022"
"319","Dc10390","Dc14022",1,0,142925,"Dc10390 Dc14022"
"320","Dc10878","Dc14022",1,0,71229,"Dc10878 Dc14022"
"321","Dc10885","Dc14022",0.576872,0.002599,72195,"Dc10885 Dc14022"
"322","Dc11203","Dc14022",1,0,142843,"Dc11203 Dc14022"
"323","Dc11714","Dc14022",0.427686,0.001589,95408,"Dc11714 Dc14022"
"324","Dc13159","Dc14022",0.573876,0.002148,83366,"Dc13159 Dc14022"
"325","Dc13592","Dc14022",0.429106,0.002531,71515,"Dc13592 Dc14022"
"326","Dc00544","Dc14945",NA,NA,NA,"Dc00544 Dc14945"
"327","Dc01018","Dc14945",NA,NA,NA,"Dc01018 Dc14945"
"328","Dc01661","Dc14945",NA,NA,NA,"Dc01661 Dc14945"
"329","Dc01707","Dc14945",NA,NA,NA,"Dc01707 Dc14945"
"330","Dc01784","Dc14945",NA,NA,NA,"Dc01784 Dc14945"
"331","Dc02951","Dc14945",NA,NA,NA,"Dc02951 Dc14945"
"332","Dc03456","Dc14945",NA,NA,NA,"Dc03456 Dc14945"
"333","Dc03556","Dc14945",NA,NA,NA,"Dc03556 Dc14945"
"334","Dc05864","Dc14945",NA,NA,NA,"Dc05864 Dc14945"
"335","Dc06503","Dc14945",NA,NA,NA,"Dc06503 Dc14945"
"336","Dc07300","Dc14945",NA,NA,NA,"Dc07300 Dc14945"
"337","Dc07937","Dc14945",NA,NA,NA,"Dc07937 Dc14945"
"338","Dc08054","Dc14945",NA,NA,NA,"Dc08054 Dc14945"
"339","Dc08189","Dc14945",NA,NA,NA,"Dc08189 Dc14945"
"340","Dc08463","Dc14945",NA,NA,NA,"Dc08463 Dc14945"
"341","Dc08578","Dc14945",NA,NA,NA,"Dc08578 Dc14945"
"342","Dc08865","Dc14945",NA,NA,NA,"Dc08865 Dc14945"
"343","Dc10003","Dc14945",NA,NA,NA,"Dc10003 Dc14945"
"344","Dc10390","Dc14945",NA,NA,NA,"Dc10390 Dc14945"
"345","Dc10878","Dc14945",NA,NA,NA,"Dc10878 Dc14945"
"346","Dc10885","Dc14945",NA,NA,NA,"Dc10885 Dc14945"
"347","Dc11203","Dc14945",NA,NA,NA,"Dc11203 Dc14945"
"348","Dc11714","Dc14945",NA,NA,NA,"Dc11714 Dc14945"
"349","Dc13159","Dc14945",NA,NA,NA,"Dc13159 Dc14945"
"350","Dc13592","Dc14945",NA,NA,NA,"Dc13592 Dc14945"
"351","Dc14022","Dc14945",NA,NA,NA,"Dc14022 Dc14945"
"352","Dc00544","Dc16747",0.658464,0.001257,181303,"Dc00544 Dc16747"
"353","Dc01018","Dc16747",1,0,180824,"Dc01018 Dc16747"
"354","Dc01661","Dc16747",1,0,204585,"Dc01661 Dc16747"
"355","Dc01707","Dc16747",0.084374,0.001018,166843,"Dc01707 Dc16747"
"356","Dc01784","Dc16747",1,0,204612,"Dc01784 Dc16747"
